"beta" "lower" "upper" "HR" "lower" "upper" "eff" "upper" "lower"
"Immunity_other" -0.526456725428792 -0.743146637459365 -0.309766813398218 0.590694257975069 0.475614970557053 0.733618006170101 0.409305742024931 0.524385029442947 0.266381993829899
"Immunityboost_001-061" -0.939695173635282 -1.01049932735306 -0.868891019917508 0.390746927171771 0.364037160469924 0.419416415887564 0.609253072828229 0.635962839530076 0.580583584112436
"Immunityboost_062-122" -0.439770236267685 -0.509797366312583 -0.369743106222786 0.644184414296082 0.600617271774809 0.690911798782859 0.355815585703918 0.399382728225191 0.309088201217141
"Immunityboost_123-183" 0.117004134353136 -0.0314268767490509 0.265435145455324 1.12412407720683 0.969061814813281 1.30399828126506 -0.124124077206834 0.0309381851867189 -0.303998281265057
"Immunityfull_001-061" -0.507580296379276 -0.658740943342049 -0.356419649416502 0.601950359497785 0.517502489440029 0.700178728978855 0.398049640502215 0.482497510559971 0.299821271021145
"Immunityfull_062-122" -0.391723900109738 -0.524788982251794 -0.258658817967682 0.675890701549561 0.591680206219203 0.772086400118503 0.324109298450439 0.408319793780797 0.227913599881497
"Immunityfull_123-183" -0.168657372454872 -0.267862330262801 -0.0694524146469438 0.844798304974087 0.765013093005035 0.93290452491954 0.155201695025913 0.234986906994965 0.0670954750804599
"Immunityfull_184-244" -0.0657047533880128 -0.140597220682877 0.00918771390685115 0.93640729456322 0.868839191687044 1.0092300505098 0.06359270543678 0.131160808312956 -0.00923005050980041
"Immunityfull_245-305" 0.299527125633078 0.175641015237835 0.423413236028322 1.34922064484423 1.19201006838338 1.52716524529254 -0.349220644844228 -0.192010068383376 -0.527165245292538
"Immunityfull_306-366" 0.440694428471807 0.204730081987636 0.676658774955977 1.55378583708063 1.22719377854961 1.96729356822986 -0.553785837080627 -0.227193778549612 -0.967293568229855
"Immunityfull_367-427" 0.552520983545875 -0.0405856564965787 1.14562762358833 1.73762803255924 0.960226911315559 3.14441424621085 -0.737628032559237 0.039773088684441 -2.14441424621085
"Immunityhybridboost_001-061" -1.94356089226005 -2.10611610193203 -1.78100568258806 0.143193145494458 0.121709757938967 0.168468636071721 0.856806854505542 0.878290242061033 0.831531363928279
"Immunityhybridboost_062-122" -0.81476548392176 -0.974938165961496 -0.654592801882024 0.442743145573523 0.377215677610773 0.519653621487601 0.557256854426477 0.622784322389227 0.480346378512399
"Immunityhybridboost_123-183" -1.00829324737804 -1.70347862497142 -0.313107869784673 0.36484114205757 0.182049140614847 0.73117103705249 0.63515885794243 0.817950859385153 0.26882896294751
"Immunityhybridfull_001-061" -3.36531674674467 -3.75966557079394 -2.97096792269539 0.0345510704455042 0.0232915284399102 0.0512536767181259 0.965448929554496 0.97670847156009 0.948746323281874
"Immunityhybridfull_062-122" -1.5895616904969 -1.79300418986464 -1.38611919112917 0.204015013859231 0.166459342284473 0.250043796333471 0.795984986140769 0.833540657715527 0.749956203666529
"Immunityhybridfull_123-183" -0.721150568300548 -0.900860552244228 -0.541440584356868 0.486192536303638 0.406219935806915 0.581909358751221 0.513807463696362 0.593780064193085 0.418090641248779
"Immunityhybridfull_184-244" -0.350889192509602 -0.502704693396822 -0.199073691622382 0.704061764850688 0.604892396740568 0.819489501596872 0.295938235149312 0.395107603259432 0.180510498403128
"Immunityhybridfull_245-305" 0.0435991344956642 -0.232016282052119 0.319214551043447 1.04456354145927 0.792933212621683 1.37604652545498 -0.044563541459266 0.207066787378317 -0.376046525454982
"Immunityhybridfull_306-366" 0.229534801513796 -0.296133600457371 0.755203203484963 1.25801464727559 0.743688064317275 2.12804390536077 -0.258014647275589 0.256311935682725 -1.12804390536077
"Immunityhybridfull_367-427" -0.343850190962104 -2.30446559917221 1.616765217248 0.709035139965712 0.0998121260865762 5.03677107599264 0.290964860034288 0.900187873913424 -4.03677107599264
"Immunityinf_062-122" -0.856074026484442 -1.01729297115759 -0.694855081811294 0.424826670872946 0.361572403490345 0.499146778191022 0.575173329127054 0.638427596509655 0.500853221808978
"Immunityinf_123-183" -0.768047565593336 -1.14842873749707 -0.387666393689599 0.463917954034091 0.317134679933479 0.678638703658399 0.536082045965909 0.682865320066521 0.321361296341601
