Immunityhybridfull,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0.98742107866141,0.995283009588228,0.966455462439032,0.984856108502341,0,0,0,0,0.965448929554496,0.97670847156009,0.948746323281874,0.968455609065032,0.171839249231451,0.443027961224601,-0.231390772544864,0.155630899451485
062-122,0.913567813774398,0.938067755898192,0.879375874004232,0.93866654689229,0.832874725212604,0.958249894745201,0.33099911240219,0.89443098281408,0.795984986140769,0.833540657715527,0.749956203666529,0.755849324654703,0.100819962159852,0.267438249045698,-0.103694998267314,0.124470447927514
123-183,0.915431105485206,0.947506501404447,0.863756501075351,0.892476985282239,0.813826277163919,0.930267173969541,0.502950661149078,0.865827274320969,0.513807463696362,0.593780064193085,0.418090641248779,0.543243040244374,0.0943732196235508,0.244199026478525,-0.0851532269317845,0.093309996403544
184-244,0.830262487339991,0.887428076968864,0.744067415495441,0.846287423672188,0.880663544135294,0.946535375853756,0.73363340852459,0.837223565827858,0.295938235149312,0.395107603259432,0.180510498403128,0.330636755834045,0.0900603496799369,0.21911513501231,-0.0603229801843472,0.0621495448795737
245-305,0.829667921049605,0.908462052547485,0.683049293468002,0.800097862062137,0.785114929431032,0.868865985323674,0.647874781631571,0.808619857334746,-0.044563541459266,0.207066787378317,-0.376046525454982,0.118030471423716,-0.0575712441250145,0.199178849807017,-0.39663760894752,0.0309890933556034
306-366,0.748870478525582,0.895554006690152,0.396185200049947,0.753908300452086,0.809308161655847,0.889624441947677,0.670548644530207,0.780016148841635,-0.258014647275589,0.256311935682725,-1.12804390536077,-0.094575812986613,-0.0817682815965772,0.36430559093163,-0.840857176616369,-0.000171358168366886
367-427,0.771615804121968,0.967847331174243,-0.622239858517484,0.707718738842035,0.645226736378957,0.772071126699495,0.447792345226989,0.751412440348524,0.290964860034288,0.900187873913424,-4.03677107599264,-0.307182097396942,0.331703939974351,0.907298879582992,-3.81784493905494,-0.0313318096923372
428-488,0,0,0,0,0.765730091123271,0.878459267196955,0.548444468456126,0.722808731855412,0,0,0,0,0,0,0,0
489-549,0,0,0,0,0.668473560070367,0.851402598319736,0.260351936644835,0.694205023362301,0,0,0,0,0,0,0,0
