Immunityboost,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0.874143893141008,0.886084068863909,0.860952199786886,0.884324015740137,0.441246241508942,0.749509395550238,-0.246377137831927,0.455303744384892,0.609253072828229,0.635962839530076,0.580583584112436,0.61378731825763,0.25205063713221,0.303358062686083,0.196964438329174,0.248361730621095
062-122,0.836167485828421,0.846422990504025,0.825227143125977,0.824928907558023,0.619302730079656,0.841824904311253,0.083734321805033,0.432274968988038,0.355815585703918,0.399382728225191,0.309088201217141,0.342288236602993,0.223926463687988,0.276447317941238,0.167593253817947,0.23144736571782
123-183,0.718029120743642,0.743588421331976,0.689922049692061,0.765533799375909,0.488965608790203,0.679844904996123,0.184282389771104,0.409246193591183,-0.124124077206834,0.0309381851867189,-0.303998281265057,0.0707891549483569,0.237834076786817,0.341682328022985,0.117603978694824,0.214533000814545
184-244,0.64976651534077,0.779925442819608,0.442627556096811,0.706138691193795,0.378071176234458,0.459754586514402,0.284037490786209,0.386217418194328,0,0,0,0,0,0,0,0
245-305,0,0,0,0,0.351530159165599,0.407226230610505,0.290600974289256,0.363188642797473,0,0,0,0,0,0,0,0
306-366,0,0,0,0,0.323664513115008,0.383881221506664,0.257562491540083,0.340159867400618,0,0,0,0,0,0,0,0
367-427,0,0,0,0,0.346754598374552,0.421271858560278,0.262642466835633,0.317131092003764,0,0,0,0,0,0,0,0
428-488,0,0,0,0,0.279869855415042,0.380677417848795,0.162653776746441,0.294102316606909,0,0,0,0,0,0,0,0
489-549,0,0,0,0,0.40809050921943,0.633107711163218,0.0450689318467089,0.271073541210054,0,0,0,0,0,0,0,0
