Immunityhybridboost,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0.978931127698101,0.986021424967752,0.96824444701626,0.979085788465258,0.95287623104796,0.973972008008244,0.91468225436105,0.943085366809742,0.856806854505542,0.878290242061033,0.831531363928279,0.854940403561675,0.211094707345952,0.330272683675025,0.0707090100598898,0.16485382539501
062-122,0.962226212877188,0.973060881641459,0.947033938727726,0.961537675310142,0.877554684522842,0.919698460742325,0.813293052401014,0.917675873691765,0.557256854426477,0.622784322389227,0.480346378512399,0.600610021913665,-0.0350450993301168,0.119447739853274,-0.216643697523164,0.136206493366207
123-183,0.940983302769534,0.968315329823355,0.890073952716736,0.943989562155026,0.888218393719963,0.92815634456889,0.826078901086449,0.892266380573788,0.63515885794243,0.817950859385153,0.26882896294751,0.346279640265655,0.498079731703727,0.750665891319636,-0.0103870547834202,0.107559161337404
184-244,0,0,0,0,0.846264870723454,0.890708325277477,0.783748487396857,0.866856887455811,0,0,0,0,0,0,0,0
245-305,0,0,0,0,0.837589141355099,0.881964961786796,0.776530025278347,0.841447394337834,0,0,0,0,0,0,0,0
306-366,0,0,0,0,0.875863043694247,0.921115299210274,0.804651804892647,0.816037901219858,0,0,0,0,0,0,0,0
367-427,0,0,0,0,0.740642664715189,0.830297581375072,0.603622459178334,0.790628408101881,0,0,0,0,0,0,0,0
428-488,0,0,0,0,0.530193688907634,0.714740918291758,0.226254362804257,0.765218914983904,0,0,0,0,0,0,0,0
489-549,0,0,0,0,0.438820603136878,0.921258453460298,-2.99944285200028,0.739809421865927,0,0,0,0,0,0,0,0
