"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" NA "0.92%" "1.96%" "1.19%" NA NA NA "0.45%"
"2" NA NA "1.66%" NA NA NA "0.92%" "1.96%"
"3" "1.19%" NA NA NA "0.45%" NA NA "1.66%"
"4" NA NA NA NA "12.86%" NA "-1.66%" NA
"5" NA NA NA NA "1.12%" NA NA NA
"6" NA NA NA NA NA NA NA NA
"7" NA NA NA NA NA NA NA NA
"8" NA NA NA NA NA NA NA NA
"9" NA NA NA NA NA NA "-12.86%" "-1.12%"
"10" NA NA NA NA NA NA "0.92%" "1.96%"
