"InfPriorinf_ALPHA_306-366" "InfPriorinf_DELTA_062-122" "InfPriorinf_DELTA_184-244" "InfPriorinf_EARLY_367+" "InfPriorinf_NA_184-244" "InfPriorinf_NA_367+" "VaccStatusboost_001-061" "VaccStatusboost_062-122" "VaccStatusboost_123-183" "VaccStatusboost_184-244" "VaccStatusboost_245-305" "VaccStatusboost_306-366" "VaccStatusboost_367+" "VaccStatusfull_001-061" "VaccStatusfull_062-122" "VaccStatusfull_123-183" "VaccStatusfull_184-244" "VaccStatusfull_245-305" "VaccStatusfull_306-366" "VaccStatusfull_367+" "VaccStatuspartial_062+" "VaccStatussecboost_001-061" "VaccStatussecboost_062-122" "VaccStatussecboost_123-183" "AgeGr0-11" "AgeGr12-15" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"VaccStatuspartial_062+" 8.86209147961416e-06 -7.61790038446239e-05 -5.65846114009482e-05 1.30328207866207e-06 -5.91084224067678e-06 1.07361668503552e-06 9.55140219382982e-05 0.000103946017866368 0.000120511449052559 0.000132921532695857 0.000134056299452644 0.000135318941337127 0.000135470856974214 9.28184080616041e-05 0.000102117847902654 9.86835836813276e-05 0.000103547899023237 0.000116270067827669 0.000129157833746323 0.000137215161305535 0.00852050941608092 0.000134433880702683 0.000135338621339321 0.000136066309851717 9.61508755981371e-05 2.57760791559223e-05 -3.68927078081543e-05 -1.80032868240584e-05 -6.14399347222702e-06 -1.87733228444009e-06 -4.39725782829336e-06 -1.387471665478e-06 8.58638614529858e-06 -1.93240584237762e-07 -5.70558747494193e-06 -1.01049821364286e-05 -7.42803368650706e-06 -3.21856272312778e-06
"VaccStatussecboost_001-061" 1.01567856348524e-05 -1.39833070853215e-05 7.21077059872287e-05 -2.06678059631661e-05 0.000102287242954598 6.4512324313298e-06 8.04572660448255e-05 0.000141943773942696 0.0002387785289953 0.000493038512068269 0.000766237058806065 0.000983774782691867 0.00106822157179422 2.15317744983594e-05 3.4034735561272e-05 2.34667386858842e-05 6.92508516656002e-05 0.00019491431336054 0.000340433710742398 0.000669244128686426 0.000134433880702683 0.00772064809768341 0.00107292845404109 0.00110019125591668 9.88255706476719e-05 6.96850561592298e-05 2.74201327564926e-05 3.42517881859449e-05 2.24703309183775e-05 -2.44410698317123e-05 -3.37005350266079e-05 -4.87401605140452e-05 -7.84882149150705e-05 -0.000129142925163367 -0.000175974688753418 -0.000214936854901863 -0.000204835221708212 -3.67470609104934e-07
"VaccStatussecboost_062-122" 9.46145972393774e-06 -1.60339444070323e-05 3.53145793491723e-05 -2.13059691318499e-05 8.25438963465299e-06 1.17866979241563e-05 8.04644892499778e-05 0.000147563419002778 0.000234464011856067 0.000427541110330956 0.000735741195236802 0.00140519299906169 0.00223112465081293 1.76400410527033e-05 2.98415806203408e-05 1.83807968341078e-05 6.41886934624921e-05 0.000184218362930166 0.000343312690142423 0.000743416789153151 0.000135338621339321 0.00107292845404109 0.0176433341517025 0.0023858545338009 9.7494345752671e-05 7.21117566641791e-05 3.0976200469787e-05 3.53158425774958e-05 2.32800000280527e-05 -2.46576013446887e-05 -3.50175445905442e-05 -5.15246535566685e-05 -8.30087849038696e-05 -0.000137443786221071 -0.0001962935466458 -0.000243178086871582 -0.000235928481154825 4.38654892466662e-07
"VaccStatussecboost_123-183" 9.05758818886486e-06 -1.72711766802364e-05 1.94028225878104e-05 -2.02058247355037e-05 -1.18442393793701e-05 1.83808259446644e-05 8.10096110923721e-05 0.000153673032276018 0.000236934831803125 0.000412180505787681 0.000658137032420709 0.00163554088809294 0.00379993835794011 1.47334977676629e-05 2.68884750042659e-05 1.47727055514209e-05 6.13988496415096e-05 0.000174756856926034 0.000339516900891938 0.00079481230246818 0.000136066309851717 0.00110019125591668 0.0023858545338009 0.0951998966559423 9.65405552292463e-05 7.40498477539391e-05 3.40496778645902e-05 3.63917674819308e-05 2.43969527455596e-05 -2.38780342156852e-05 -3.50175171131202e-05 -5.35243123170041e-05 -8.38357105760561e-05 -0.000144979905624696 -0.000217670732281831 -0.000272415872933919 -0.000260654744068662 5.8845376229928e-07
"AgeGr0-11" 2.57956267036421e-05 2.94360041353924e-05 3.01060326570309e-05 1.92949149728739e-05 2.03701717516531e-05 1.27385067138786e-05 0.000106287822551785 9.98374620403739e-05 0.000105363670409017 0.000114170983928491 0.000110840498776804 0.000108702107280199 0.000103919753858895 7.74209593841537e-05 9.33333173798142e-05 9.20825870291805e-05 0.00011146923522336 0.000106045154774514 0.000103096414651208 0.000113688169693176 9.61508755981371e-05 9.88255706476719e-05 9.7494345752671e-05 9.65405552292463e-05 0.000683440872847231 0.000304063630074559 0.000277559936474124 0.000290570396500457 0.000286949900224875 0.000269141761576404 0.000270994467889795 0.0002708162620528 0.000273368272233566 0.00026897694603198 0.000264879415874918 0.000260342538448025 0.000270500932735276 2.82791925820677e-06
"AgeGr12-15" 1.77429963161457e-05 -3.73389616543402e-05 -1.62913230485377e-05 7.18974080633706e-06 -2.39455305953778e-05 5.97838636347715e-06 5.26306328702893e-05 5.21626089891785e-05 5.53075275299562e-05 7.02159046738365e-05 7.65579756356486e-05 7.93138391384408e-05 7.99831449373872e-05 -4.08331361617757e-05 -2.43327114652898e-05 -2.45910687779504e-05 4.79045543609655e-05 4.55401326504091e-05 2.30413051121378e-05 5.70987909325082e-05 2.57760791559223e-05 6.96850561592298e-05 7.21117566641791e-05 7.40498477539391e-05 0.000304063630074559 0.000831684452252941 0.000292508147830465 0.000292189904385961 0.000289123450907186 0.000273335122092196 0.000272014512197528 0.000270247032117758 0.00026936679182078 0.00026562793480427 0.000262034547357787 0.000258903930436049 0.000263804132517844 3.50592377689894e-06
"AgeGr18-24" 9.05246554063398e-06 3.49014859011396e-06 1.18680912299038e-06 -6.79695192661827e-07 -7.79175536420803e-06 2.46529514174578e-06 1.02205157353397e-05 1.56065405111284e-05 1.36807834411066e-05 1.95774730402624e-05 2.84173689879572e-05 3.25617277741258e-05 3.72140523364734e-05 -3.83518868238807e-05 -3.80355012866636e-05 -5.78024848137069e-05 -4.3448648141657e-07 4.71481802736963e-06 -2.06467222988632e-05 3.08652324882596e-06 -3.68927078081543e-05 2.74201327564926e-05 3.0976200469787e-05 3.40496778645902e-05 0.000277559936474124 0.000292508147830465 0.000628830726856643 0.000287049174884263 0.000285481061440762 0.000277750439358859 0.000276215192806191 0.000274679546776618 0.000272950985661733 0.000271094539438143 0.000269129275363566 0.0002677555603622 0.000268768596219597 2.47332284019931e-06
"AgeGr25-29" 8.18971806157818e-06 1.14875260246932e-05 8.29521862864454e-06 -1.49586457426334e-06 6.68503847787266e-06 1.90924916792755e-06 2.68436991653474e-05 2.72643001200597e-05 2.64081444246751e-05 3.29805742849052e-05 3.63296256190227e-05 3.69189340563324e-05 3.64623317527488e-05 -1.49417940708339e-05 -1.23490188431989e-05 -1.73356963493086e-05 2.15363320738612e-05 1.81584741367127e-05 2.03864246712567e-06 1.98516249840989e-05 -1.80032868240584e-05 3.42517881859449e-05 3.53158425774958e-05 3.63917674819308e-05 0.000290570396500457 0.000292189904385961 0.000287049174884263 0.000680659358241023 0.000284765224349342 0.000276642541520528 0.000276036914539154 0.000275035280006999 0.000274306129430136 0.00027223156143587 0.000270389922863919 0.000268835815274517 0.000271327639810025 8.59717967043987e-07
"AgeGr30-34" 6.09058655432155e-06 8.12875911431284e-06 5.40260610348945e-06 3.85952484490832e-06 2.99028542422892e-06 -1.62469974479201e-06 1.84923598714823e-05 2.01112414611327e-05 1.98575969770195e-05 2.26640052389878e-05 2.55416972192942e-05 2.73166705916865e-05 2.84780640322333e-05 -1.6892368000709e-05 -1.28084555702428e-05 -1.3881305246873e-05 1.28347863180724e-05 1.21773627617716e-05 -3.49810873703852e-06 1.07550616774797e-05 -6.14399347222702e-06 2.24703309183775e-05 2.32800000280527e-05 2.43969527455596e-05 0.000286949900224875 0.000289123450907186 0.000285481061440762 0.000284765224349342 0.000580285439542179 0.000277580091390975 0.000277052071969686 0.000276218853102451 0.000275612290673888 0.000274097268925161 0.000272639507873463 0.000271466671746271 0.000273285020803616 1.62871886872789e-06
"AgeGr45-49" -6.32696521593938e-06 -9.16324957589949e-07 -3.69933772655429e-06 -6.10495353920599e-07 -1.40303022392375e-07 -6.98360022549503e-06 -2.05171427830285e-05 -2.29559514563037e-05 -2.05756741636758e-05 -2.41780027222908e-05 -2.75256245034728e-05 -2.73302727985347e-05 -2.99399083342692e-05 -7.32850928866123e-06 -8.57072715922141e-06 -4.17253049592906e-06 -1.4133784069726e-05 -1.99048683751387e-05 -1.2131875097197e-05 -1.76579014580137e-05 -1.87733228444009e-06 -2.44410698317123e-05 -2.46576013446887e-05 -2.38780342156852e-05 0.000269141761576404 0.000273335122092196 0.000277750439358859 0.000276642541520528 0.000277580091390975 0.000529861204903407 0.000282409102916804 0.000283008864127061 0.000283321558204925 0.000284750298990687 0.00028620283875236 0.000287497805547366 0.000285580200656223 6.98465173014231e-07
"AgeGr50-54" -7.73984911191276e-06 8.60359259026063e-06 3.79292004427837e-06 2.10269611374261e-06 1.2610924753364e-05 -5.03623227291948e-06 -1.95983733283902e-05 -2.53976149604987e-05 -2.23602507710544e-05 -2.54103975161304e-05 -3.13864667671028e-05 -3.24372392043904e-05 -3.68856776612524e-05 -9.43181923459344e-07 -2.35658776687445e-07 3.96749631378448e-06 -8.75718288023814e-06 -1.84509103864693e-05 -9.64112651471379e-06 -1.65515913494329e-05 -4.39725782829336e-06 -3.37005350266079e-05 -3.50175445905442e-05 -3.50175171131202e-05 0.000270994467889795 0.000272014512197528 0.000276215192806191 0.000276036914539154 0.000277052071969686 0.000282409102916804 0.000613744097651135 0.000283945410040188 0.000284875262888957 0.000286781230000049 0.000288793228601314 0.000290454371050021 0.000288661854108381 9.81867690396833e-07
"AgeGr55-59" -2.71940157407925e-06 1.0895106292354e-05 7.98944882423989e-06 4.44667007139689e-06 1.86947315699878e-05 -3.18391546779908e-06 -2.35964092465607e-05 -3.43390701517487e-05 -2.7057315926819e-05 -3.12278572158851e-05 -4.1477779758326e-05 -4.31495736122984e-05 -5.14884412408174e-05 3.34241769359328e-06 3.65894020273778e-06 7.62512993717174e-06 -2.00781293056882e-06 -1.96962619245801e-05 -9.20571785585218e-06 -1.53509530482895e-05 -1.387471665478e-06 -4.87401605140452e-05 -5.15246535566685e-05 -5.35243123170041e-05 0.0002708162620528 0.000270247032117758 0.000274679546776618 0.000275035280006999 0.000276218853102451 0.000283008864127061 0.000283945410040188 0.000657246026816143 0.000287479649656823 0.000290361701092082 0.000293387150757284 0.000295747413044398 0.000293634578388943 1.93160030019772e-06
"AgeGr60-64" 3.81852555218909e-06 1.69671532886578e-05 1.53663042970368e-05 1.45964490193275e-05 2.62638577718004e-05 3.94467751754732e-06 -2.09262777033191e-05 -4.5450247270735e-05 -3.14132191860536e-05 -3.18960850658524e-05 -5.02739103479354e-05 -5.5661267712699e-05 -7.52648966743236e-05 9.09597312251893e-06 9.77405201170987e-06 1.40420138071876e-05 8.29706569971936e-06 -1.09148677971032e-05 -3.63930200301372e-07 -1.01725750560109e-05 8.58638614529858e-06 -7.84882149150705e-05 -8.30087849038696e-05 -8.38357105760561e-05 0.000273368272233566 0.00026936679182078 0.000272950985661733 0.000274306129430136 0.000275612290673888 0.000283321558204925 0.000284875262888957 0.000287479649656823 0.00081760381218236 0.000295308645315191 0.000299953134300977 0.00030343356916521 0.000301514944955622 5.28599792953782e-06
"AgeGr65-69" 8.8892603538004e-06 1.88972574185252e-05 1.74294019662571e-05 2.47677669882039e-05 3.31726490349062e-05 1.45417115262317e-05 -3.31522399719414e-05 -6.56732519668057e-05 -4.24979723428221e-05 -4.60996477896027e-05 -6.91651325426937e-05 -7.28073221325776e-05 -9.40272173540122e-05 7.00043655346303e-06 8.08640770294427e-06 1.27153043912604e-05 7.29685901118518e-06 -1.39098653729994e-05 -6.62911346155282e-07 -1.35463902154003e-05 -1.93240584237762e-07 -0.000129142925163367 -0.000137443786221071 -0.000144979905624696 0.00026897694603198 0.00026562793480427 0.000271094539438143 0.00027223156143587 0.000274097268925161 0.000284750298990687 0.000286781230000049 0.000290361701092082 0.000295308645315191 0.000871810562752088 0.000308029498638063 0.000312752627913117 0.000309685583757 6.90237593745189e-06
"AgeGr70-74" 1.0793929548521e-05 2.13391180538861e-05 1.78757769641912e-05 2.81500455858571e-05 3.49442626793122e-05 1.71315166786971e-05 -2.9859400135896e-05 -9.21636363129512e-05 -8.14178888501159e-05 -5.56976279155722e-05 -9.27618847272892e-05 -0.000122046023450908 -0.000159702418832439 7.57010876793624e-06 8.29652716137618e-06 1.37668873735072e-05 8.8890159660256e-06 -2.77188720131486e-05 -1.36115832529471e-05 -2.80458712365427e-05 -5.70558747494193e-06 -0.000175974688753418 -0.0001962935466458 -0.000217670732281831 0.000264879415874918 0.000262034547357787 0.000269129275363566 0.000270389922863919 0.000272639507873463 0.00028620283875236 0.000288793228601314 0.000293387150757284 0.000299953134300977 0.000308029498638063 0.000991047408360015 0.000326000923334007 0.000322918310293856 9.61826453331993e-06
"AgeGr75-79" 1.10376409556885e-05 2.20716767259975e-05 1.58257131667141e-05 3.03715556369197e-05 3.70355897539089e-05 1.68092058843656e-05 -2.68917408825076e-05 -0.000114281830245173 -0.000120359934901611 -6.47338514899055e-05 -0.000113061616804065 -0.00016394427704508 -0.000206726173522504 7.30891764449517e-06 5.3942839260681e-06 1.35250193141903e-05 6.83957485394243e-06 -4.28702185516591e-05 -3.07931927483585e-05 -4.44890760382982e-05 -1.01049821364286e-05 -0.000214936854901863 -0.000243178086871582 -0.000272415872933919 0.000260342538448025 0.000258903930436049 0.0002677555603622 0.000268835815274517 0.000271466671746271 0.000287497805547366 0.000290454371050021 0.000295747413044398 0.00030343356916521 0.000312752627913117 0.000326000923334007 0.00119144088785214 0.000333781400143878 1.28016069895163e-05
"AgeGr80+" 1.5503919105009e-05 2.82028366871737e-05 2.09669694567487e-05 2.98423151725255e-05 3.94241472951321e-05 1.75648716419789e-05 -2.96911717550025e-06 -9.60085864479353e-05 -0.000119522151979003 -4.67193357534438e-05 -9.70572314283734e-05 -0.000156351376453615 -0.000196963332171615 1.73354320758397e-05 1.70691121039193e-05 2.50716436859575e-05 2.12426284796117e-05 -2.37293023263078e-05 -4.47330120387369e-05 -4.09156609800685e-05 -7.42803368650706e-06 -0.000204835221708212 -0.000235928481154825 -0.000260654744068662 0.000270500932735276 0.000263804132517844 0.000268768596219597 0.000271327639810025 0.000273285020803616 0.000285580200656223 0.000288661854108381 0.000293634578388943 0.000301514944955622 0.000309685583757 0.000322918310293856 0.000333781400143878 0.00112808806606121 2.03046916637084e-05
"SexM" 1.23266432294347e-06 3.2844541098345e-06 4.91805895197045e-06 3.20936247523584e-06 2.48855701383491e-06 3.79314976399615e-06 -1.74840987341395e-06 2.54421168276962e-06 5.53274676802947e-06 2.70181615547708e-06 4.61640391996789e-06 8.69349587942178e-06 1.34466678055302e-05 -3.9016313229269e-06 -4.5436272783466e-06 -3.08704996862124e-06 -1.32475259960433e-06 4.48394781986638e-06 6.01337701570639e-06 3.93987504702713e-06 -3.21856272312778e-06 -3.67470609104934e-07 4.38654892466662e-07 5.8845376229928e-07 2.82791925820677e-06 3.50592377689894e-06 2.47332284019931e-06 8.59717967043987e-07 1.62871886872789e-06 6.98465173014231e-07 9.81867690396833e-07 1.93160030019772e-06 5.28599792953782e-06 6.90237593745189e-06 9.61826453331993e-06 1.28016069895163e-05 2.03046916637084e-05 0.000117067433125266
