"Immunity_other" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityfull_001-061" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridfull_001-061" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "DCCI1" "DCCI2" "DCCI3" "DCCI4" "DCCI5" "DCCI6+" "DCCInodcci" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunityfull_123-183" 3.77238385796458e-06 3.93474794019129e-06 3.12346312312947e-06 2.57837953720476e-06 2.12896950716445e-06 1.82067832169598e-06 1.6635544655611e-06 2.14895398854789e-06 4.43292488441622e-06 3.99919165878124e-06 1.63349852222358e-05 3.84616271655731e-06 3.14177258789038e-06 2.88415282895162e-06 2.31251666644517e-06 1.96842983765906e-06 1.98416095476249e-06 3.70996158857974e-06 3.08171356225188e-06 2.44571776394012e-06 2.13991244986469e-06 1.9290967394329e-06 1.84633456578164e-06 3.9915679326791e-06 3.67687707906952e-06 3.98332216420813e-06 3.4769850680562e-06 2.88830110315444e-06 2.74144209334356e-06 2.31469373386018e-06 2.07892669788432e-06 2.1320307588358e-06 3.81604462550365e-06 3.05069481614302e-06 2.57998454313484e-06 3.39656819445139e-06 4.09366784566118e-06 3.88132564505675e-06 3.95827870415713e-06 3.20464032895538e-06 1.66786081297257e-06 1.62588587627993e-06 -8.57875944914895e-08 -3.89828270630473e-08 4.02454622258751e-10 4.86746786186469e-08 1.07961021070661e-07 2.57114642450817e-07 -1.2421823877564e-06 -1.26234327742502e-06 -4.41203512577402e-07 -2.09918405828824e-07 -1.06865761920516e-07 1.33955220320967e-07 2.56904747670831e-07 3.31393808821102e-07 3.6902080830011e-07 3.68273768187926e-07 4.98538691320387e-07 5.899650753642e-07 9.38168202246252e-07 -5.07300535033744e-08
"Immunityfull_184-244" 3.67316835154703e-06 4.01526436745342e-06 3.90923855347666e-06 3.44795044471955e-06 3.01823867952333e-06 2.82309936733067e-06 2.66276412104126e-06 2.84448951392703e-06 3.91223290069498e-06 3.95029515861443e-06 3.84616271655731e-06 1.23816112540941e-05 3.69803053004015e-06 3.2798110916881e-06 2.97800774550772e-06 2.87135842128344e-06 2.78324408086909e-06 4.02108655835682e-06 3.85742219948892e-06 3.24437687831086e-06 2.98609751528413e-06 2.86933889231101e-06 2.77303335684536e-06 3.9659595261232e-06 3.94165591880616e-06 3.76912449187879e-06 3.74759735390251e-06 3.45834732730303e-06 3.23505614614047e-06 2.9737276527524e-06 2.91341540061642e-06 2.86642779611848e-06 3.9307237243956e-06 3.53717444957566e-06 3.03010537642433e-06 3.36929243091028e-06 3.91002037079181e-06 3.93602637716173e-06 3.88980035207596e-06 3.6700213284211e-06 2.71137680214038e-06 2.64786464465704e-06 -9.49582103153412e-08 -5.77597199417581e-08 -9.50498086936019e-09 5.10089710682344e-08 1.2328206681551e-07 2.86393696852149e-07 -6.07321398257596e-07 2.16621893917509e-07 6.12288355377275e-07 5.07693830230877e-07 3.06619775055543e-07 -7.3915405050339e-08 -2.86162203109432e-08 7.60814730553907e-08 2.03898107919067e-07 2.09563315843386e-07 3.32390969958273e-07 4.16487943472397e-07 8.03834428633472e-07 -2.10111399096112e-08
"Immunityfull_245-305" 3.9934366259944e-06 3.4800450129456e-06 4.69697674793285e-06 5.89765385716262e-06 5.45197331050475e-06 5.859829458041e-06 6.09258253313905e-06 5.81576248314858e-06 3.14349651648422e-06 3.78427360764032e-06 3.14177258789038e-06 3.69803053004015e-06 3.6083374733364e-05 4.88596364335328e-06 5.38088019262876e-06 5.80296964812868e-06 5.67444018761748e-06 3.7656971045713e-06 5.02658602496833e-06 5.55534451722218e-06 5.46878107892426e-06 5.783019516019e-06 5.93494738661848e-06 3.50725520327535e-06 4.06894774031466e-06 3.81640384225749e-06 4.13088375421992e-06 5.1355196510006e-06 4.96714353123914e-06 5.3828149238768e-06 5.6814015459051e-06 5.54536402046894e-06 3.84079447594889e-06 5.16654504198107e-06 5.16929920758983e-06 4.26117974107659e-06 3.39269977591156e-06 3.83474262245887e-06 3.78988547570804e-06 4.73712306389744e-06 6.02483609719984e-06 6.14375333426959e-06 -1.36168578224975e-07 -1.55835413471076e-07 -1.39267923887213e-07 -9.846165500512e-08 -3.70224331635938e-08 1.13609528251455e-07 -1.20846542327216e-06 3.91597220512651e-07 6.06438551457354e-07 5.51644152457443e-07 3.41965813672787e-07 -2.14137907583736e-07 -3.10837925698568e-07 -3.59929371064432e-07 -3.13449339981063e-07 -3.50342191034756e-07 -6.33519313627332e-07 -8.15780713534503e-07 -4.64152958271631e-07 1.50743536989634e-07
"Immunityfull_306-366" 4.82606636634269e-06 2.87428984039179e-06 3.5802698767994e-06 7.1143635367391e-06 1.12422515223388e-05 1.01395732438865e-05 9.68342220145802e-06 9.64377937789439e-06 2.77518686801001e-06 3.11946185571812e-06 2.88415282895162e-06 3.2798110916881e-06 4.88596364335328e-06 7.92771915958193e-05 9.95872726057755e-06 9.86206394133285e-06 1.04911292151242e-05 3.15196340805662e-06 4.19385777518313e-06 9.66518701151303e-06 1.06813723329669e-05 9.87323353087265e-06 9.48551040708449e-06 2.97054041469295e-06 3.34706665362347e-06 4.22709433652696e-06 4.89331133906095e-06 6.63258575562429e-06 9.01086472751893e-06 9.85493233344111e-06 9.89180866969009e-06 1.02525429846641e-05 3.25624503922355e-06 6.55637790726016e-06 9.87500599980855e-06 6.78472383376178e-06 3.12398386537556e-06 3.13338343916146e-06 3.53022051535319e-06 5.74578786126753e-06 9.95826429089736e-06 9.44235332890505e-06 -1.29085450138308e-07 -1.50557827610378e-07 -1.27238674863343e-07 -1.29521212929066e-07 -5.00522768219348e-08 9.46541632521867e-08 -1.35810732696459e-06 -2.36067646386825e-07 1.83003296403913e-07 2.44187948104505e-07 1.41214453088553e-07 -6.57471165193782e-08 -7.1791151030642e-08 -9.03524608297254e-08 -5.61475433221112e-08 -1.62969728595654e-08 -3.19669522378359e-07 -6.29103407265306e-07 -1.23431113425343e-06 2.19704573167696e-07
"Immunityfull_367-427" 5.56917659834439e-06 2.55849473526327e-06 3.3085313824295e-06 6.69069803111853e-06 1.49507008295649e-05 1.7674675120003e-05 1.85899103354289e-05 1.76262066046517e-05 2.24212218438175e-06 2.58521299169131e-06 2.31251666644517e-06 2.97800774550772e-06 5.38088019262876e-06 9.95872726057755e-06 0.000104605154385422 1.73314317424869e-05 1.70367869456725e-05 2.94083950531043e-06 4.02553059461597e-06 1.08183845153066e-05 1.6136400405779e-05 1.77620736728291e-05 1.84093198053645e-05 2.53971169280391e-06 2.93304442598633e-06 3.97327211737074e-06 5.76063066515656e-06 9.02636075747188e-06 1.13284132978352e-05 1.5798999233812e-05 1.70829354656235e-05 1.69973155629005e-05 2.77289898963099e-06 6.68746950320564e-06 1.39413624970702e-05 9.75471085022169e-06 3.06908702456917e-06 2.67986113892013e-06 3.05007862153764e-06 6.35273653709113e-06 1.83074547884325e-05 1.83070199271644e-05 -1.2955077371331e-07 -1.42082513671206e-07 -1.17284109377062e-07 -9.01210111372106e-08 -1.11276571986334e-08 1.57604720240159e-07 -7.51716686578108e-07 3.86405814936181e-07 6.77233238759802e-07 5.78781941625115e-07 3.39000963256002e-07 -1.73548722147334e-07 -2.15976001525484e-07 -2.35403579157392e-07 -2.57353205607815e-07 -2.76013404444103e-07 -5.10891571090802e-07 -6.95239722993636e-07 -7.32039835097109e-07 9.55443183844174e-08
"Immunityfull_428-488" 5.7889726175088e-06 2.72258584603222e-06 3.78382443167434e-06 7.14947441905719e-06 1.52162639441229e-05 2.18067257859118e-05 2.58345941950014e-05 2.65847479841422e-05 1.97980800166562e-06 2.30122393987802e-06 1.96842983765906e-06 2.87135842128344e-06 5.80296964812868e-06 9.86206394133285e-06 1.73314317424869e-05 0.000346470810671773 2.02488206555145e-05 3.04296581679864e-06 4.30149125507724e-06 1.10671235285146e-05 1.73774085635135e-05 2.25362649281326e-05 2.54754893829425e-05 2.29935492815216e-06 2.82252070585159e-06 3.7452013130611e-06 5.90884213177924e-06 1.00042783696599e-05 1.19466290483429e-05 1.77381716292571e-05 2.17715553990814e-05 1.99839024882139e-05 2.53901584527178e-06 6.38558066648533e-06 1.4957094279819e-05 1.04632685284337e-05 3.17829482796452e-06 2.51229581036565e-06 2.87449756649499e-06 6.21122983759002e-06 2.32537853344669e-05 3.02020024802077e-05 -1.82567014471197e-07 -2.57589679156986e-07 -2.49699387023926e-07 -2.15435125951338e-07 -1.26219514102294e-07 6.46529338376987e-08 -8.93414116284074e-07 1.04808111781753e-06 1.0290906871519e-06 9.33692153861428e-07 5.94219252877498e-07 -4.91398253499855e-07 -7.82106293723067e-07 -9.80211924673872e-07 -1.08328552394071e-06 -1.19664250105208e-06 -1.76600886411083e-06 -2.1682703608929e-06 -2.08697505651657e-06 2.77214470728034e-07
"Immunityfull_489-549" 5.76895878070761e-06 2.53151376064882e-06 3.80693152203353e-06 7.50816804650438e-06 1.58523966748093e-05 2.04600030705492e-05 2.30742952235381e-05 2.1529560752948e-05 1.97958862229431e-06 2.30938662853892e-06 1.98416095476249e-06 2.78324408086909e-06 5.67444018761748e-06 1.04911292151242e-05 1.70367869456725e-05 2.02488206555145e-05 0.00154188026773663 2.87177658399458e-06 4.22312446581693e-06 1.14841304242372e-05 1.73653878798487e-05 2.05221338083612e-05 2.23128381036241e-05 2.26741086351426e-06 2.74870306393629e-06 3.80886190288496e-06 5.82984581693654e-06 9.65387370487319e-06 1.20399893085593e-05 1.720551101638e-05 1.96509133305762e-05 1.91975932448671e-05 2.52477993400008e-06 6.68470974586323e-06 1.49318995811578e-05 1.03229174217967e-05 2.9928913897204e-06 2.49709743152262e-06 2.91889372993372e-06 6.43376509629752e-06 2.16938275151312e-05 2.37130919786042e-05 -2.02333211753334e-07 -3.07974602481546e-07 -2.99335162705674e-07 -3.62462845571211e-07 -2.47077396381565e-07 -2.21441393061871e-08 -1.61528658430701e-06 7.62546014179656e-07 5.98585306071501e-07 5.9872592820429e-07 3.30084568565179e-07 -2.49851016171574e-07 -4.21629143200024e-07 -6.40916727607085e-07 -6.4521384176709e-07 -5.32293224685164e-07 -1.57751415040958e-06 -2.74832860470216e-06 -4.98073884990559e-06 7.68311581448169e-07
"Immunityhybridboost_001-061" 3.60921960765536e-06 4.17516168660122e-06 4.15068405283531e-06 3.55429915790331e-06 3.02241858821905e-06 3.03956232310819e-06 2.96516525221401e-06 2.97864437632002e-06 3.84680339456184e-06 3.88715326908456e-06 3.70996158857974e-06 4.02108655835682e-06 3.7656971045713e-06 3.15196340805662e-06 2.94083950531043e-06 3.04296581679864e-06 2.87177658399458e-06 6.22248428483561e-05 4.03022412602215e-06 3.2417377686258e-06 3.01616174395396e-06 3.0685641281072e-06 3.03976472001021e-06 3.96606467290142e-06 3.99619594946844e-06 3.71637599382731e-06 3.76295812008205e-06 3.49470658651867e-06 3.15780370442194e-06 2.94732525854861e-06 3.03755375894622e-06 2.92853934777252e-06 3.92902573189253e-06 3.43339928802391e-06 2.90415661793079e-06 3.30132859952147e-06 3.92612548563675e-06 3.94524499150534e-06 3.881548019613e-06 3.61430271123086e-06 3.00535329397644e-06 3.02545225842948e-06 -2.70239806480405e-07 -2.99858288336824e-07 -2.78729422047904e-07 -2.37692081865222e-07 -1.83828191405364e-07 -2.03043876042606e-09 -3.41488249902428e-07 6.6142496165052e-07 8.64331883490755e-07 7.53056825927382e-07 4.54924464140645e-07 -2.11673819409995e-07 -2.03863068713026e-07 -2.09254124226679e-07 -9.3391874984487e-08 5.49896898318986e-08 1.85996125072153e-07 3.0156007778449e-07 7.49753124355113e-07 9.29160270269026e-08
"Immunityhybridboost_062-122" 3.70039448621062e-06 3.75942719821043e-06 5.08634641682602e-06 5.71913963282859e-06 4.39313844185674e-06 4.43744149698669e-06 4.4699513489493e-06 4.11019235329889e-06 3.18390176655882e-06 3.87488980914306e-06 3.08171356225188e-06 3.85742219948892e-06 5.02658602496833e-06 4.19385777518313e-06 4.02553059461597e-06 4.30149125507724e-06 4.22312446581693e-06 4.03022412602215e-06 7.94796695153643e-05 4.88563040540111e-06 4.19194458088305e-06 4.28396586896252e-06 4.29410737050895e-06 3.65707663760451e-06 4.24364533416843e-06 3.72999349021238e-06 3.95759670149996e-06 4.58207166472892e-06 4.13486644588108e-06 4.00321248329545e-06 4.17537738510867e-06 4.0605081684692e-06 3.9584438352901e-06 4.83391884306268e-06 3.92715216914139e-06 3.48936084374724e-06 3.44201001933137e-06 3.97163581060869e-06 3.83666817291919e-06 4.4813854870287e-06 4.56194520064794e-06 4.58180834507327e-06 -3.06054307750462e-07 -4.09449846791519e-07 -4.34423911802321e-07 -4.82332294488861e-07 -5.02308280826258e-07 -3.17456687096243e-07 -5.56696720340584e-07 7.61486666369965e-07 8.77460897663864e-07 7.77473072074729e-07 4.70511849969218e-07 -3.33763753189928e-07 -4.1478963300486e-07 -5.53147299859643e-07 -7.00128875547802e-07 -5.35476368290007e-07 -6.65083607885802e-07 -7.15005022628229e-07 -4.4472984434957e-07 2.09377380472917e-07
"Immunityhybridboost_123-183" 4.83304620118889e-06 2.86685364027132e-06 4.0668312696823e-06 8.45881891423677e-06 1.24079673132108e-05 1.13713086050031e-05 1.09248571689687e-05 1.05038148103029e-05 2.35631522244754e-06 2.89576498776457e-06 2.44571776394012e-06 3.24437687831086e-06 5.55534451722218e-06 9.66518701151303e-06 1.08183845153066e-05 1.10671235285146e-05 1.14841304242372e-05 3.2417377686258e-06 4.88563040540111e-06 0.000164884414305102 1.17587272981596e-05 1.10707546233134e-05 1.07139223402506e-05 2.77552376518488e-06 3.48785940637908e-06 4.28688455258634e-06 5.10703791085507e-06 7.38040609973778e-06 9.78759184242101e-06 1.07416861665436e-05 1.10452829674888e-05 1.12533142720922e-05 3.22350875633486e-06 7.25451893441945e-06 1.0691960822358e-05 7.04790763258323e-06 2.92176634043898e-06 3.07506323483973e-06 3.48844882317054e-06 6.10403445193959e-06 1.12392055007716e-05 1.06372573061744e-05 -3.16125135654544e-07 -4.04900434234893e-07 -4.36668292654826e-07 -4.73733421438516e-07 -4.74602526995501e-07 -3.22705585569661e-07 -4.45562524459035e-07 8.17786767226875e-07 9.02688527792788e-07 8.09629602521056e-07 4.85973009613446e-07 -2.78388733081451e-07 -3.48285453641046e-07 -4.27660761158575e-07 -4.20698609291363e-07 -2.73796426367228e-07 -5.5440812703562e-07 -7.57570999014271e-07 -6.51226960310475e-07 3.10554144761759e-07
"Immunityhybridboost_184-244" 5.56929983451931e-06 2.64981113025805e-06 3.43994750360121e-06 7.24358716747744e-06 1.61071280452827e-05 1.79489664223841e-05 1.82825266317864e-05 1.72085325486884e-05 2.09081268718057e-06 2.39812698710903e-06 2.13991244986469e-06 2.98609751528413e-06 5.46878107892426e-06 1.06813723329669e-05 1.6136400405779e-05 1.73774085635135e-05 1.73653878798487e-05 3.01616174395396e-06 4.19194458088305e-06 1.17587272981596e-05 0.000108044263152672 1.78663318001925e-05 1.80853105145109e-05 2.43752218673477e-06 2.9157116549597e-06 4.07416513532384e-06 5.89270254084353e-06 9.22685060230559e-06 1.19483475240663e-05 1.61508446366289e-05 1.71755792336283e-05 1.73042181907651e-05 2.6844445282721e-06 7.01155399865848e-06 1.44376916553105e-05 9.96405090436048e-06 2.98635325441257e-06 2.59232355708639e-06 3.03403561913607e-06 6.52946233076391e-06 1.8425563804037e-05 1.77302920206919e-05 -3.15603016145015e-07 -3.91733992870766e-07 -3.97618241854866e-07 -3.78513066259426e-07 -3.23646144762992e-07 -1.26240937978544e-07 -3.60676144743968e-07 9.9247832999864e-07 1.06554071259046e-06 9.26583552623645e-07 5.59382938425718e-07 -3.45129795975576e-07 -4.24312443947428e-07 -5.26801343621063e-07 -5.26304501087573e-07 -3.88599966115387e-07 -5.93926243337445e-07 -7.2095125759277e-07 -4.99748297040961e-07 2.21840556037716e-07
"Immunityhybridboost_245-305" 5.81140338411595e-06 2.74113332742342e-06 3.7674383374635e-06 6.95175789467348e-06 1.56100761612713e-05 2.21306718179663e-05 2.56884856454106e-05 2.59563844504979e-05 1.95039740543932e-06 2.25153139855702e-06 1.9290967394329e-06 2.86933889231101e-06 5.783019516019e-06 9.87323353087265e-06 1.77620736728291e-05 2.25362649281326e-05 2.05221338083612e-05 3.0685641281072e-06 4.28396586896252e-06 1.10707546233134e-05 1.78663318001925e-05 0.000208741278231671 2.53623966071381e-05 2.29279814716785e-06 2.80040758560965e-06 3.72537325004732e-06 5.99206125203774e-06 1.01256367783644e-05 1.20362041862242e-05 1.81298393407078e-05 2.18154657561259e-05 2.03266797084092e-05 2.50054737873345e-06 6.33651015204576e-06 1.52017621020457e-05 1.07079166081932e-05 3.16695802752516e-06 2.48715639856451e-06 2.83215152901153e-06 6.2582180372153e-06 2.35912447555237e-05 2.92674193338707e-05 -3.47195788913593e-07 -5.0154580840881e-07 -5.44982772118793e-07 -5.96354850097817e-07 -6.02766391347345e-07 -3.64025688628566e-07 -5.9761989114964e-07 1.10601815102776e-06 1.09424962707226e-06 9.53437590976851e-07 5.76876685787815e-07 -5.17542660716013e-07 -7.10312373658653e-07 -9.89675288382324e-07 -1.30261227756485e-06 -1.14181211100717e-06 -1.55829403500956e-06 -1.8093122553887e-06 -1.68601836302408e-06 2.88428306690726e-07
"Immunityhybridboost_306-366" 5.97036490687039e-06 2.67646044693961e-06 3.86059838383573e-06 6.89898955787204e-06 1.50165907408615e-05 2.42091805438753e-05 3.01875201416094e-05 3.0609797581183e-05 1.88577286169361e-06 2.18750949919756e-06 1.84633456578164e-06 2.77303335684536e-06 5.93494738661848e-06 9.48551040708449e-06 1.84093198053645e-05 2.54754893829425e-05 2.23128381036241e-05 3.03976472001021e-06 4.29410737050895e-06 1.07139223402506e-05 1.80853105145109e-05 2.53623966071381e-05 0.00241638941755558 2.25482177582539e-06 2.75597757965638e-06 3.56418820007346e-06 6.01075241109169e-06 1.05662381368047e-05 1.21025941549095e-05 1.90445537918817e-05 2.44850295560816e-05 2.19669457843357e-05 2.4561341220438e-06 6.04668409659791e-06 1.55599778002295e-05 1.1000318856752e-05 3.28945054365237e-06 2.46132493096522e-06 2.766753035659e-06 6.09602798010027e-06 2.62128169441504e-05 3.56782025566078e-05 -3.73357532906418e-07 -5.88683134419152e-07 -6.73455124446462e-07 -8.96357665830487e-07 -1.03884604045829e-06 -8.38215451765197e-07 -8.1932031357854e-07 1.16624033862384e-06 1.04672309660885e-06 9.75772953688348e-07 5.68624718296329e-07 -5.08050667642061e-07 -6.88507044938085e-07 -8.56840142227168e-07 -9.21199930287225e-07 -6.62094101551876e-07 -1.64804528350766e-06 -2.46080892452051e-06 -2.87665611866113e-06 6.56339273986009e-07
"Immunityhybridfull_001-061" 3.64936415373127e-06 3.92746947353266e-06 3.67194098443063e-06 3.03626779315871e-06 2.37662565014754e-06 2.15612362133231e-06 2.04694396809826e-06 2.31778616861566e-06 4.02662715355819e-06 4.0224635458284e-06 3.9915679326791e-06 3.9659595261232e-06 3.50725520327535e-06 2.97054041469295e-06 2.53971169280391e-06 2.29935492815216e-06 2.26741086351426e-06 3.96606467290142e-06 3.65707663760451e-06 2.77552376518488e-06 2.43752218673477e-06 2.29279814716785e-06 2.25482177582539e-06 0.000296488003441987 3.96368432079254e-06 3.77994538324578e-06 3.67548102268903e-06 3.2268324720616e-06 2.93161905458335e-06 2.57426247531823e-06 2.41727134212132e-06 2.44304270917623e-06 4.02087250262286e-06 3.4008882484739e-06 2.70701306682738e-06 3.21043768567141e-06 3.97286064665282e-06 3.99355739669814e-06 3.91768652373559e-06 3.54461203327212e-06 1.98998904085076e-06 1.96285841837546e-06 -2.02390868444056e-07 -1.48192459369495e-07 -1.09855414126385e-07 -6.71768717094248e-08 -6.81319356981106e-09 1.45023080365224e-07 6.32875282148542e-09 -1.31675415604731e-07 2.49857727544222e-07 2.80021007276676e-07 1.23867731483275e-07 1.37427928971784e-07 3.48041305839202e-07 5.00661043188698e-07 6.89175960305345e-07 7.56444811857307e-07 8.34127983214123e-07 8.92110947482229e-07 1.23129722319794e-06 1.73156711505497e-07
"Immunityhybridfull_062-122" 3.65119051809997e-06 3.85604143101578e-06 4.13648971738922e-06 3.99660276496848e-06 2.94695779545728e-06 2.73371595141433e-06 2.62982969144291e-06 2.75604538188485e-06 3.73346822045912e-06 3.98824993858856e-06 3.67687707906952e-06 3.94165591880616e-06 4.06894774031466e-06 3.34706665362347e-06 2.93304442598633e-06 2.82252070585159e-06 2.74870306393629e-06 3.99619594946844e-06 4.24364533416843e-06 3.48785940637908e-06 2.9157116549597e-06 2.80040758560965e-06 2.75597757965638e-06 3.96368432079254e-06 9.66846206610052e-05 3.7795558972094e-06 3.77019543209193e-06 3.69023559884672e-06 3.29422409605457e-06 2.95540601221987e-06 2.88301528721958e-06 2.84861018621033e-06 4.05043461588277e-06 3.9529875172746e-06 3.05500229155901e-06 3.24395447641236e-06 3.79237504549077e-06 4.01304280947814e-06 3.91193781556202e-06 3.87318865020579e-06 2.61963853144437e-06 2.59992820898234e-06 -2.22894990372834e-07 -2.01691852656216e-07 -1.79392138164789e-07 -1.36821604743976e-07 -7.14226479282822e-08 8.56371733822389e-08 -1.27076707996713e-07 3.76921938058738e-07 6.41114164369435e-07 5.93314138301345e-07 2.89560059307548e-07 6.93825739867058e-08 2.44579507499776e-07 3.21357706776919e-07 4.37989942688436e-07 4.90220248980716e-07 5.54070081028054e-07 6.11161606214e-07 1.00466669769911e-06 1.78375795863468e-07
"Immunityhybridfull_123-183" 3.89019795643517e-06 3.72027451118205e-06 3.53445606294955e-06 3.99812229478818e-06 4.20648354292193e-06 3.67998727560117e-06 3.42169359618413e-06 3.62792684169904e-06 3.8474713885712e-06 3.75387043839978e-06 3.98332216420813e-06 3.76912449187879e-06 3.81640384225749e-06 4.22709433652696e-06 3.97327211737074e-06 3.7452013130611e-06 3.80886190288496e-06 3.71637599382731e-06 3.72999349021238e-06 4.28688455258634e-06 4.07416513532384e-06 3.72537325004732e-06 3.56418820007346e-06 3.77994538324578e-06 3.7795558972094e-06 5.4121463847175e-05 3.86430999480487e-06 3.91542554394446e-06 4.17379511684011e-06 3.97944306849165e-06 3.8502837224201e-06 3.92068394211744e-06 3.78504607766994e-06 4.08173031858042e-06 4.14760832185739e-06 3.99708005547714e-06 3.79842867935264e-06 3.76756400164893e-06 3.84807370451055e-06 3.88003513769455e-06 3.48452635264269e-06 3.30831980349207e-06 -2.04014935106042e-07 -1.69142496452132e-07 -1.39138712656324e-07 -8.54138285895199e-08 -2.40549915987656e-08 1.27439681956026e-07 -4.01934166855875e-08 -3.13906350672664e-07 1.40497759210649e-07 2.54436255650047e-07 1.52597557764309e-07 2.97144837796883e-08 1.38941865003808e-07 2.19452125432575e-07 3.6463053263669e-07 4.58032772585763e-07 5.05895332559429e-07 5.48144784693379e-07 8.93369566273903e-07 1.04625363481035e-07
"Immunityhybridfull_184-244" 4.08682992549801e-06 3.60472096771794e-06 3.72477296641245e-06 4.30914694310606e-06 5.69711764900967e-06 5.89111678344357e-06 5.88349611659006e-06 5.86381853423466e-06 3.49227123058031e-06 3.64812819582815e-06 3.4769850680562e-06 3.74759735390251e-06 4.13088375421992e-06 4.89331133906095e-06 5.76063066515656e-06 5.90884213177924e-06 5.82984581693654e-06 3.76295812008205e-06 3.95759670149996e-06 5.10703791085507e-06 5.89270254084353e-06 5.99206125203774e-06 6.01075241109169e-06 3.67548102268903e-06 3.77019543209193e-06 3.86430999480487e-06 4.25243743640122e-05 4.74997715050524e-06 5.14200388218251e-06 5.79486687371651e-06 5.95568243237432e-06 5.94843987001336e-06 3.72395407711754e-06 4.42849754993912e-06 5.51941088876007e-06 4.76058333930158e-06 3.69403499285481e-06 3.68329312037057e-06 3.72323361649917e-06 4.34873845641977e-06 5.84392463997227e-06 5.70934197865567e-06 -2.15743618693373e-07 -1.75625485737588e-07 -1.55622885328938e-07 -9.41989487481651e-08 -1.81009106679445e-08 1.26868293283037e-07 -1.4403936732934e-07 2.93491009590367e-07 5.79010731398405e-07 5.39126186755015e-07 3.1619258955068e-07 -8.44638336529582e-08 -2.20050833333326e-09 1.46117693916644e-07 4.07028386669967e-07 5.4036919767736e-07 5.41324171987004e-07 5.36633260019031e-07 8.18070055165658e-07 1.08723546536474e-07
"Immunityhybridfull_245-305" 4.55449848969093e-06 3.13910051414689e-06 4.00450928674754e-06 5.99048958655295e-06 8.68225139810994e-06 9.97021752288866e-06 1.05529050764881e-05 1.05624068667682e-05 2.84815057061682e-06 3.3246997308039e-06 2.88830110315444e-06 3.45834732730303e-06 5.1355196510006e-06 6.63258575562429e-06 9.02636075747188e-06 1.00042783696599e-05 9.65387370487319e-06 3.49470658651867e-06 4.58207166472892e-06 7.38040609973778e-06 9.22685060230559e-06 1.01256367783644e-05 1.05662381368047e-05 3.2268324720616e-06 3.69023559884672e-06 3.91542554394446e-06 4.74997715050524e-06 0.00010116499353028 7.25959960015719e-06 9.11748920765569e-06 9.90788066603118e-06 9.69149367408876e-06 3.50428793417369e-06 5.68074903628492e-06 8.31866818410931e-06 6.26426959806685e-06 3.3432203890127e-06 3.44174854537734e-06 3.54677104144624e-06 5.25749633538645e-06 1.02101837739715e-05 1.0974383524229e-05 -2.48999091617063e-07 -2.51137945994933e-07 -2.61025314714503e-07 -2.44968945891276e-07 -1.54247399179694e-07 -1.67851148839391e-08 -4.14422759526479e-07 6.22061660269253e-07 7.35106007414681e-07 6.94186760769902e-07 3.87947325183669e-07 -1.80736331098613e-07 -1.59691194463057e-07 -1.20112983157688e-07 9.26837108975658e-08 2.49547307862157e-07 9.56239735331998e-08 -1.18664754235672e-08 2.24448520915904e-07 2.85503285137256e-07
