Immunityinf,HospBA12,high,low,trend,ProxyBA12,high,low,trend,HospNew,high,low,trend,ProxyNew,high,low,trend
001-061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
062-122,0.840862397143562,0.87296795217636,0.800642616750916,0.586447481412479,0.876043021469357,0.917086609216452,0.814682135403693,0.473805066333911,0.60914211697389,0.783802362521862,0.293378565530806,0.481367852131144,0.914169501397782,0.987920206966695,0.390148947917037,0.552789158016585
123-183,0.851948833601611,0.904621581216396,0.770187552368068,0.629345408665857,0.884762771801707,0.948307468035376,0.743103727789664,0.535087594318307,0.771670271133041,0.867637228077851,0.606124408492118,0.51737544628852,0.809739817158403,0.928745504477139,0.491976795158082,0.575546957996613
184-244,0.822393411745713,0.955610294615005,0.289382528724986,0.672243335919234,0,0,0,0,0.650212290967828,0.736511371127935,0.535648115390277,0.553383040445895,0.614681733973034,0.761576275315836,0.377284427836602,0.598304757976642
245-305,0.93902786832074,0.984755969654068,0.756127431056627,0.715141263172611,0.936683396412838,0.991084953717449,0.550311668301685,0.6576526502871,0.732450087052887,0.799595455725894,0.642807720866353,0.589390634603271,0.718798205835494,0.831163479722337,0.531650800956491,0.62106255795667
306-366,0.698188563475854,0.766509399897323,0.609876615261119,0.758039190425989,0.755507640236304,0.837821695154547,0.631414855151038,0.718935178271497,0.727273514449246,0.802966746999153,0.622501609306801,0.625398228760647,0.621492384379553,0.769146959644684,0.379397321940547,0.643820357936699
367-427,0.734498492640703,0.794564611137821,0.656869973569407,0.800937117679366,0.855419673776833,0.912949790342838,0.759868806598819,0.780217706255894,0.649155286771024,0.767634382518465,0.470265807244464,0.661405822918023,0.708131469844592,0.86938805086159,0.347783725325122,0.666578157916727
428-488,0.741838849676271,0.809420740625324,0.650291538779445,0.843835044932744,0.833570096262144,0.903474028562961,0.713041863802851,0.84150023424029,0.502597830719267,0.712103829099636,0.140631439343444,0.697413417075398,0.505817088868546,0.815260533402504,-0.321952229008265,0.689335957896756
489-549,0.807512951949049,0.884049816491328,0.680455325328589,0.886732972186121,0.77688725262472,0.888551309114505,0.553343357864202,0.902782762224687,0.662014313362257,0.804100087522707,0.416874040792501,0.733421011232774,0.69673282015263,0.886466039071857,0.189925361356972,0.712093757876784
