Immunityboost,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0.875090657966882,0.88689973957023,0.862048560561584,0.885094461186732,0.430145097110724,0.744556167313899,-0.271256412543704,0.489172173818217,0,0,0,0,0.253456207530377,0.298721709500011,0.205268947256914,0.237652032293799
062-122,0.830420354220443,0.841003899080878,0.819132317733072,0.818699820478268,0.613045248297651,0.839238873857621,0.0685933629725016,0.46146778444399,0,0,0,0,0.193048732683783,0.237889133664432,0.145570052091963,0.200628692419751
123-183,0.695880979783123,0.723442413582714,0.665572802916636,0.752305179769804,0.531253501377239,0.710272836718159,0.241620021118437,0.433763395069762,0,0,0,0,0.127168714391748,0.193231696207972,0.0556961031367662,0.163605352545702
184-244,0.610080439381432,0.755239722937765,0.378831951091807,0.68591053906134,0.412467807751229,0.490299754919935,0.322750812343786,0.406059005695535,0,0,0,0,0.0805558717771853,0.147370623458458,0.0085053034972189,0.126582012671654
245-305,0,0,0,0,0.366538942828093,0.421364084575009,0.306519176814964,0.378354616321308,0,0,0,0,0.106767166243324,0.174231887213547,0.0337906211845798,0.0895586727976053
306-366,0,0,0,0,0.32750839807844,0.387713484248575,0.261383448727414,0.350650226947081,0,0,0,0,0.201246586702006,0.340719770223074,0.0322673327075628,0.0525353329235568
367-427,0,0,0,0,0.350983317424332,0.424565394339251,0.267992139996774,0.322945837572854,0,0,0,0,0,0,0,0
428-488,0,0,0,0,0.274938414786003,0.365066320732672,0.172016984577548,0.295241448198627,0,0,0,0,0,0,0,0
489-549,0,0,0,0,0.344620544793945,0.476689319900939,0.179221356183905,0.267537058824399,0,0,0,0,0,0,0,0
