Immunityfull,ProxyBA12,high1,low1,trend1,ProxyNew,high2,low2,trend2,LCAll,high3,low3,trend3,LCInf,high4,low4,trend4
001-061,0.48576922886128,0.573078592910294,0.380604294854769,0.514515989337113,0,0,0,0,0,0,0,0,0.0888028549225687,0.203312872499919,-0.0421660003502158,0.192927878442367
062-122,0.418086031466118,0.504526705696695,0.316564846848108,0.453870350013911,0,0,0,0,0,0,0,0,0.0988918542524362,0.201669430647372,-0.0171173715558286,0.168359339829928
123-183,0.374680085447237,0.46041794849526,0.275318750047712,0.393224710690708,-0.600447120167483,0.239919965847601,-2.36994904399609,-0.158711622481076,0,0,0,0,0.167996806643979,0.234152427073159,0.0961265162607721,0.143790801217489
184-244,0.367950848345173,0.426434691829388,0.303503673571631,0.332579071367505,-0.415460303352813,-0.0294857788110927,-0.946144290289685,-0.121587062197289,0,0,0,0,0.160101308688699,0.213183042336042,0.103438474736435,0.119222262605051
245-305,0.330517460536656,0.402064595289492,0.250409212909397,0.271933432044302,-0.0200773953758291,0.219303338897469,-0.33285813095091,-0.0844625019135015,0,0,0,0,0.0322843646526255,0.120117725995934,-0.0643168734769231,0.0946537239926117
306-366,-0.0372584382415049,0.101064977243358,-0.196866336794703,0.2112877927211,0.0241922756860563,0.247915752137558,-0.26608251341134,-0.0473379416297142,0,0,0,0,0.0484451993999652,0.175339159831953,-0.0979744574272026,0.0700851853801729
367-427,-0.381788905710968,-0.0267801005356536,-0.85954186193309,0.150642153397897,0.0333525556274421,0.199518085034818,-0.167305924397606,-0.0102133813459269,0,0,0,0,-0.0076974744004028,0.134972897351939,-0.173898709999253,0.045516646767734
428-488,-0.0183788335684179,0.857294091920023,-6.26736168539673,0.0899965140746942,-0.00779913279589661,0.14385045773397,-0.186310383786396,0.0269111789378604,0,0,0,0,-0.0908464996251617,0.141117265253935,-0.385458151159931,0.0209481081552951
489-549,0,0,0,0,0.0445762092869847,0.208633591730137,-0.153491745822427,0.0640357392216477,0,0,0,0,-0.277746526228919,0.184598949277342,-1.00224930277331,-0.00362043045714366
