"Immunity_other" "Immunityb45_062-122" "Immunityb45_123-183" "Immunityboost_001-061" "Immunityboost_062-122" "Immunityboost_123-183" "Immunityboost_184-244" "Immunityboost_245-305" "Immunityboost_306-366" "Immunityboost_367-427" "Immunityboost_428-488" "Immunityboost_489-549" "Immunityfull_062-122" "Immunityfull_123-183" "Immunityfull_184-244" "Immunityfull_245-305" "Immunityfull_306-366" "Immunityfull_367-427" "Immunityfull_428-488" "Immunityfull_489-549" "Immunityhybridboost_001-061" "Immunityhybridboost_062-122" "Immunityhybridboost_123-183" "Immunityhybridboost_184-244" "Immunityhybridboost_245-305" "Immunityhybridboost_306-366" "Immunityhybridboost_367-427" "Immunityhybridboost_428-488" "Immunityhybridboost_489-549" "Immunityhybridfull_062-122" "Immunityhybridfull_123-183" "Immunityhybridfull_184-244" "Immunityhybridfull_245-305" "Immunityhybridfull_306-366" "Immunityhybridfull_367-427" "Immunityhybridfull_428-488" "Immunityhybridfull_489-549" "Immunityinf_062-122" "Immunityinf_123-183" "Immunityinf_184-244" "Immunityinf_245-305" "Immunityinf_306-366" "Immunityinf_367-427" "Immunityinf_428-488" "Immunityinf_489-549" "Immunitysecbnew_001-061" "Immunitysecbnew_062-122" "Immunitysecbnew_123-183" "Immunitysecboost_001-061" "Immunitysecboost_062-122" "Immunitysecboost_123-183" "Immunitysecboost_184-244" "AgeGr0-11" "AgeGr12-15" "AgeGr16-17" "AgeGr18-24" "AgeGr25-29" "AgeGr30-34" "AgeGr35-39" "AgeGr45-49" "AgeGr50-54" "AgeGr55-59" "AgeGr60-64" "AgeGr65-69" "AgeGr70-74" "AgeGr75-79" "AgeGr80+" "SexM"
"Immunity_other" 0.00391309955744733 0.00167351658787856 0.0017192445078324 0.00163705898178411 0.00163442009146258 0.00168226837123075 0.00172053212108373 0.00172217025609719 0.00167092548373901 0.00168378163720331 0.00166165904238301 0.00166263556777251 0.00166279240819923 0.00169392506118337 0.0016846610499973 0.00165270750939912 0.00159899372798574 0.00168671440499821 0.00174274076770977 0.00171742490279923 0.00163389576122428 0.00163646939633006 0.00166327506556389 0.0016920353310231 0.00169690937704261 0.00169523284411174 0.00172347138955277 0.00170506990865709 0.001715637565093 0.00168513700084675 0.00171674831104958 0.00173232021719193 0.00168266055708178 0.00170768651348381 0.00174576739016847 0.00174001874206762 0.00173073329963438 0.00166478171550516 0.00168908636577032 0.00170740042804376 0.00165442640824241 0.00165336204314933 0.00166448433569064 0.00165546796173391 0.0016970009926384 0.00158214755136475 0.00161348413048545 0.00165249848624256 0.00157842621842242 0.00158073457371862 0.00161176781890595 0.00163451032081105 0.000980960614668935 0.000219100272832564 4.43221745653073e-05 -5.07658750298379e-05 1.0959541954535e-05 2.82920366642053e-05 1.12782131961395e-05 2.6682958193375e-06 1.5461142651206e-05 4.83818645780884e-05 9.77026440272267e-05 0.000139143187498621 0.000143980043308775 0.000137663105438534 0.000242781993425684 1.20620021878591e-05
"Immunityb45_062-122" 0.00167351658787856 1.00173340030744 0.00167224257938664 0.00165100594821958 0.00171976720391419 0.00172108162622939 0.00170071331844096 0.00170673721385819 0.00171034924353645 0.00173115551890154 0.00171096189181207 0.00165123198763609 0.00168131332834495 0.00168140327361987 0.0016566826590205 0.00163604915509805 0.00161700511766457 0.00169426787439251 0.00168615927269986 0.00171453390790688 0.00171883987005536 0.00174121709262012 0.00171822145270111 0.00170231335989264 0.0017070271070714 0.00171523924874589 0.00170624243430246 0.00168686029523684 0.00163907669179582 0.00170744641677261 0.00170219783483865 0.00168329612266211 0.00168040020495394 0.00170418799387285 0.00169043222990523 0.00169027591216229 0.00170042419790892 0.00169273303247193 0.00167204024257683 0.00165153799721797 0.00166556606215884 0.00164974259214181 0.00159726822584878 0.00158414461582741 0.00155442062707248 0.00174263614018407 0.00175737242531937 0.0016929316360263 0.00174079379160058 0.00175635020902002 0.0017422983284585 0.00170755808177587 0.00107427336413945 0.000113272886978307 -3.30594635441419e-05 -4.95056545179765e-05 -2.69337187793222e-05 -4.93433579245845e-05 -4.01995234363659e-05 -1.92631358350054e-05 -3.37852798316203e-05 -1.51531983441702e-05 -8.72521544757875e-05 -9.16759647903592e-05 -0.000102100471392896 -0.000135496591494061 -3.67879184521712e-05 -1.03020198904706e-05
"Immunityb45_123-183" 0.0017192445078324 0.00167224257938664 0.33521108618358 0.00158329003763182 0.00156918485691147 0.00166199717879985 0.00169645769995202 0.00164785175270554 0.0015426630928771 0.00165777093346783 0.00181484829614697 0.00194934656517887 0.00162601631514629 0.00167364228171205 0.00164555690482191 0.00155797260914676 0.00145959629282768 0.0016051054473563 0.00175222982204088 0.00161513166862996 0.00167159214628292 0.00165012261555441 0.00174530644271295 0.00177485017766461 0.00164416561834196 0.00162653453860394 0.00171704931100111 0.00183074833229629 0.00193556036860492 0.00161763263066118 0.00168582949147726 0.00174293190766323 0.00157429102774562 0.00158245338658959 0.00170894471029745 0.0017523077442698 0.00167778626628047 0.00160512406836059 0.00165062967317695 0.00172027031021299 0.00154434866625175 0.00153042017663562 0.00162225387475716 0.00162722248275195 0.00177935536376242 0.00157598111849747 0.00168021987510373 0.00189170172900669 0.00157941575714537 0.00160267832660697 0.00172260460750549 0.00185220326452201 0.00107809893943495 7.71349871620952e-05 4.36123542609387e-05 -3.72448435528126e-05 -4.02845641360872e-05 -9.20389779571287e-05 -4.80462205093434e-05 -3.00785958124768e-05 -3.07348810357005e-06 -2.48911665407482e-05 -7.75478628542681e-05 -8.54449594391755e-05 -0.00010036775542542 -0.000169005134966127 -7.31661565696603e-06 -1.40053486808807e-05
"Immunityboost_001-061" 0.00163705898178411 0.00165100594821958 0.00158329003763182 1.00172705460343 0.00175585068940641 0.00168225808751625 0.00169736282399609 0.00173229564190971 0.00183941627987219 0.00166929263460495 0.00155303035711808 0.00150875179873628 0.00168223081762918 0.00166740153474782 0.00170557657373616 0.00172776648650207 0.00175555134098383 0.00170911447186211 0.00167164490726317 0.00175195640448937 0.00167093681045091 0.00165762175151287 0.0016031337463495 0.00160319449493255 0.00173110479208522 0.00172873442402043 0.0016477616776486 0.00157592175202998 0.00154992383540702 0.00173564128502833 0.00167943634866859 0.00164908939043562 0.00179768220500662 0.00177182800843035 0.00167759424833529 0.00164535287156483 0.00170620402653989 0.00172178457936289 0.00166804474880988 0.00162992441972409 0.00179723712078577 0.00173340841125218 0.00163264022206135 0.00159402965042661 0.00157265821803847 0.00175183533161655 0.00160164311325352 0.00151913120117464 0.00174915641500285 0.00168420561032792 0.00157935256223321 0.00151837945140515 0.000480639557944365 8.05118823999195e-05 -5.02436479302212e-05 -0.000102623982616104 -0.000249918725744389 -0.000240477977536087 -0.000222524049891104 -0.000172333581562497 -0.000140419992238005 -0.000136702328168805 -1.33248980196036e-05 -2.49441268904086e-05 -1.65490908258767e-05 -6.89853495829173e-05 3.59341232996218e-05 -8.98992172532466e-06
"Immunityboost_062-122" 0.00163442009146258 0.00171976720391419 0.00156918485691147 0.00175585068940641 1.0018832027687 0.00174496737549563 0.0017186361130083 0.00176149291768812 0.00195976883585364 0.00174384316370332 0.00162118179594278 0.00155265044214174 0.00171435986292061 0.00167002134018257 0.00170070233798894 0.00173162714286597 0.0018038133746342 0.00174014293105629 0.0016526136107479 0.00179360575591608 0.00179327763121714 0.00178462079813184 0.00167938470965231 0.0016415322589873 0.00179589075810871 0.00179924277713283 0.00166516013759091 0.00159836039405538 0.00154562483141951 0.001804110561907 0.00169774063937038 0.00162987212433529 0.00185879764645479 0.00182009743138145 0.00166185621577409 0.00163487811832928 0.00172231767380838 0.00178865484450491 0.00167400812499655 0.00159109843504551 0.00186720559341729 0.00176030942695246 0.00158009379017992 0.00152728740344773 0.00147865068360331 0.00195984773275903 0.00174367525339949 0.00158299667452971 0.00196014681334581 0.00188259637459032 0.00171082187348394 0.0016011604562801 0.000976866441415169 0.000148322169548711 -1.73934516969057e-05 -9.62626059057261e-05 -3.90448327546136e-05 -6.69278939676616e-05 -3.36920374601368e-05 -4.89933906991959e-05 -5.62899515987708e-05 -7.78338723557676e-05 -7.19887055365448e-05 -5.78116917244165e-05 -0.000108212753032152 -0.000126131695814962 -4.88283681542402e-05 -4.84279978444642e-06
"Immunityboost_123-183" 0.00168226837123075 0.00172108162622939 0.00166199717879985 0.00168225808751625 0.00174496737549563 0.101732834129225 0.0017355304928278 0.00175007282885911 0.0017739492394154 0.00172153180917443 0.00166506122872784 0.00162108403171866 0.00170355172865748 0.00170630542725325 0.00170230517556966 0.00168875755810724 0.00167884924987274 0.00172711086661411 0.00171647043618133 0.0017662130847247 0.00171126287140833 0.00171854452158055 0.00168900954573291 0.00168486062282313 0.00173680029283867 0.00173712814712262 0.00170329991546874 0.00166081790622631 0.00162925711009513 0.0017390328152087 0.00171902123987997 0.00169871667796582 0.00174413737670347 0.00175836582669769 0.00172207183879657 0.00170154554019117 0.00173462695016188 0.00171992001135435 0.00169031038467625 0.00166390983462397 0.00172588779463971 0.00169600790275521 0.0016273878318529 0.00160272705848737 0.00158536933521868 0.00174641523321614 0.00170737678601025 0.00164112585492248 0.00174489431868357 0.0017342935813873 0.00169238539892832 0.00164999878616079 0.0011050363662309 8.54191010494242e-05 -6.84139644115477e-05 -0.000160630498875543 -8.96224149309927e-05 -6.60462580632983e-05 -2.92169532230137e-05 -1.17739898716626e-05 8.16663252823302e-06 -2.63205002545151e-07 1.50979862248064e-05 1.23542355156538e-05 1.80057459754835e-05 -3.78139974062449e-05 2.92613892310636e-05 1.81079690435765e-05
"Immunityboost_184-244" 0.00172053212108373 0.00170071331844096 0.00169645769995202 0.00169736282399609 0.0017186361130083 0.0017355304928278 0.112910014323739 0.0018153475666168 0.00179745979817246 0.00170309378318285 0.00161426090978712 0.00158855322638565 0.00172116143178824 0.00175600584479017 0.00178173771645232 0.00175596369352204 0.00172477519489245 0.00177524959892363 0.00180070997824936 0.00183886575800854 0.00165565222077297 0.00165311427160406 0.00164582297412767 0.00167723168081657 0.0017602355073931 0.00174615565949602 0.00172198084570903 0.00165743421807342 0.00165100121780796 0.00175100963794231 0.00175061046981027 0.00175184349849473 0.00179276939009426 0.00181187158041868 0.00180002549431018 0.00175513404767856 0.00179839383486192 0.00172454344376678 0.00172233056402647 0.0017148789714948 0.00175745553173827 0.00173832603704514 0.0017030589245344 0.00167421067798178 0.00170086555118567 0.00165589380913549 0.00160741929238564 0.00158868158454488 0.00165150847051985 0.00162321054918869 0.00159311978035783 0.0015757300893557 0.00115923343937289 -0.000115288574162146 -0.000346515431876572 -0.000364388944369664 -0.000176098967545673 -8.07589311816906e-05 -4.55906481124911e-05 1.0794899156145e-05 4.91566801516932e-05 8.55510730074461e-05 0.000134316736084028 0.00013095090719533 0.000155076301638731 0.000145841865484089 0.00026774132944412 1.68431647062856e-05
"Immunityboost_245-305" 0.00172217025609719 0.00170673721385819 0.00164785175270554 0.00173229564190971 0.00176149291768812 0.00175007282885911 0.0018153475666168 0.0606778468851875 0.00187566552716032 0.0017231702009084 0.00156247940854953 0.00149024717667366 0.00173974814273459 0.00176702595041644 0.00180523407032165 0.00180056150615709 0.00178845684568604 0.00181201540835766 0.0018042762360227 0.00188645112614378 0.00165649142284129 0.00165873791290658 0.00162243963787195 0.00165329229583474 0.00179784089971999 0.00178961491602642 0.00173430903802523 0.00162081788724691 0.00158301362071544 0.00179209884151455 0.00177159074316383 0.00175518844580828 0.0018570320034716 0.0018746230378945 0.00182061329125408 0.00175992000663578 0.00182850489372146 0.00176136719461518 0.00174400578920947 0.00171533482858682 0.00182372167180338 0.00179715062015799 0.00172224589605383 0.00168407654361594 0.00167700474029579 0.00168256848812587 0.00158550817106515 0.00150598082418478 0.00167529806932057 0.00162861962160252 0.0015542036940935 0.00149667470509839 0.00121192302911578 -7.02539146891737e-05 -0.000361586349694833 -0.000293509152936298 -0.000123138314621503 -4.39681948101854e-05 -4.17103855250184e-05 7.79945319376364e-06 5.80917660153275e-05 0.000130112250832925 0.00018763810480797 0.000222668845489586 0.000258212245414661 0.000258141437827588 0.000392999959962987 2.11611869498934e-05
"Immunityboost_306-366" 0.00167092548373901 0.00171034924353645 0.0015426630928771 0.00183941627987219 0.00195976883585364 0.0017739492394154 0.00179745979817246 0.00187566552716032 0.00967146518748749 0.0017694936790088 0.00152390646282262 0.0014253381530706 0.00175320638211372 0.00171550879549761 0.00179296072539397 0.00185138637577223 0.00194928129692928 0.00182526348447871 0.00172440781113414 0.00192075925623362 0.00178839696067546 0.00176229561010003 0.00162831206353201 0.00161436952930681 0.00189720257345982 0.00189645805991394 0.00170601009688506 0.00156545706407545 0.0015052141725576 0.0018980831630834 0.00175931088918585 0.00167757417751303 0.00202876008904604 0.00196827246791115 0.00174919907723359 0.00168884102224705 0.00182195674722679 0.00186890275266893 0.00173319982800901 0.00162917829772862 0.00203208473262292 0.00188681656510088 0.00165697413105336 0.00157802787234978 0.00153912050837877 0.00198966852928287 0.00164073162708698 0.00144973481036898 0.00198427076269343 0.00183917793078463 0.00158867205962077 0.0014468730443078 0.00122359197279701 0.00020805867160983 -4.65896504477519e-05 -7.89455893633683e-05 4.65224194596881e-05 5.61631847899379e-05 2.82982399528841e-05 -2.04854946893574e-05 -4.61305817409915e-06 5.43509427752719e-05 0.000127587256998804 0.000155382814685274 0.00019437626221857 0.000199410248238776 0.000346553045894806 7.97559833815206e-06
"Immunityboost_367-427" 0.00168378163720331 0.00173115551890154 0.00165777093346783 0.00166929263460495 0.00174384316370332 0.00172153180917443 0.00170309378318285 0.0017231702009084 0.0017694936790088 0.00318610219045487 0.00170073368109254 0.00161376513382842 0.00167158755816672 0.00166568156253649 0.00164414643019236 0.00164171808805047 0.00163494687297945 0.00169969063621834 0.00168409642919976 0.00172558465521525 0.0017315882370894 0.001755214427827 0.00172001929207941 0.00170443315432499 0.0017427601316933 0.00176069784330051 0.00173937498500341 0.0017010786496678 0.00163887200164196 0.00173746380734803 0.00172238910177367 0.00169286214678483 0.00172110749355785 0.00173801450857014 0.00170235823163916 0.0017068500173157 0.0017206808782178 0.00171735272514269 0.00168772716475399 0.00165710283410601 0.0017091351228556 0.0016782170965583 0.00160285066390628 0.00158422693744702 0.00155090426587485 0.00176585387864221 0.00174396856148564 0.00166398555218671 0.00175992187081958 0.00175656127301554 0.00171731945074052 0.00166857697495674 0.00114409727345628 0.000330323755077328 0.000149757866936323 4.36482862980413e-05 0.0001269017467382 0.000105999099079131 5.58660458231053e-05 -5.75862091994629e-05 -7.04579716032891e-05 -6.08734267639962e-05 -4.87604982545146e-05 -6.9772259750039e-05 -4.37283014527785e-05 -3.34260876566343e-05 0.000126371267433799 7.56056317604452e-07
