"names_fin" "eff_tau_fin"
"2" "Immunityfull_001-061" 0.449489837673105
"3" "Immunityfull_062-122" 0.354734131333383
"4" "Immunityfull_123-183" 0.259978424993661
"5" "Immunityfull_184-244" 0.165222718653938
"6" "Immunityfull_245-305" 0.0704670123142164
"7" "Immunityfull_306-366" -0.0242886940255058
"8" "Immunityfull_367-427" -0.119044400365228
"9" "Immunityfull_428-488" -0.21380010670495
"10" "Immunityfull_489-549" -0.308555813044673
"11" "Immunityboost_001-061" 0.670840465521742
"12" "Immunityboost_062-122" 0.219938125108244
"13" "Immunityboost_123-183" -0.230964215305254
"14" "Immunityboost_184-244" -0.681866555718752
"15" "Immunityboost_245-305" -1.13276889613225
"16" "Immunityinf_062-122" 0.653390659799024
"17" "Immunityinf_123-183" 0.585750951454939
"18" "Immunityinf_184-244" 0.518111243110854
"19" "Immunityinf_245-305" 0.450471534766768
"20" "Immunityinf_306-366" 0.382831826422683
"21" "Immunityinf_367-427" 0.315192118078598
"22" "Immunityinf_428-488" 0.247552409734513
"23" "Immunityinf_489-549" 0.179912701390428
"24" "Immunityhybridfull_001-061" 0.950977229138481
"25" "Immunityhybridfull_062-122" 0.80541533659249
"26" "Immunityhybridfull_123-183" 0.659853444046499
"27" "Immunityhybridfull_184-244" 0.514291551500508
"28" "Immunityhybridfull_245-305" 0.368729658954516
"29" "Immunityhybridfull_306-366" 0.223167766408525
"30" "Immunityhybridfull_367-427" 0.0776058738625336
"31" "Immunityhybridfull_489-549" -0.213517911229449
"32" "Immunityhybridboost_001-061" 0.822872031247717
"33" "Immunityhybridboost_062-122" 0.645827112898326
"34" "Immunityhybridboost_123-183" 0.468782194548935
"35" "Immunityhybridboost_184-244" 0.291737276199544
"36" "Immunityhybridboost_245-305" 0.114692357850153
