"","Var1","Freq"
"1","",16153
"2","CO01",2337
"3","CO02",215
"4","CO03",255
"5","CO04",143
"6","CO07",8
"7","CO09",2
"8","CO12",1
"9","CO14",1
"10","CO19",1
