"","Var1","Freq"
"1","",16042
"2","CO01",2347
"3","CO02",260
"4","CO03",230
"5","CO04",224
"6","CO07",7
"7","CO08",2
"8","CO09",2
"9","CO12",1
"10","CO14",1
